what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1419818137088
java.specification.version,sysinfo,,,"1.7",1419818137088
java.vendor,sysinfo,,,"Oracle Corporation",1419818137088
java.version,sysinfo,,,"1.7.0_71",1419818137088
java.vm.info,sysinfo,,,"mixed mode",1419818137088
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1419818137088
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1419818137088
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1419818137088
java.vm.specification.version,sysinfo,,,"1.7",1419818137088
java.vm.vendor,sysinfo,,,"Oracle Corporation",1419818137088
java.vm.version,sysinfo,,,"24.71-b01",1419818137088
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1419818137338
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1419818137338
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1419818137369
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1419818137432
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1419818137728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818137931
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1419818138118
started,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20110624-0507-H6-M2,"org.hibernate.eclipse.jdt.ui",1419818138305
started,bundle,org.hibernate.eclipse,3.4.0.v20110624-0507-H6-M2,"org.hibernate.eclipse",1419818138586
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1419818138602
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1419818139070
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1419818139070
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1419818139116
started,bundle,org.hibernate.eclipse.console,3.4.0.v20110624-0507-H6-M2,"org.hibernate.eclipse.console",1419818139116
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1419818139132
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1419818139179
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1419818139210
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1419818141082
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1419818141082
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1419818141597
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1419818141597
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1419818141644
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1419818141706
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1419818141722
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1419818141878
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1419818142205
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1419818142221
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1419818142252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818168616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818170246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818170339
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1419818176845
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1419818176907
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.502.v201105180500,"org.eclipse.jst.j2ee.ejb",1419818177063
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1419818177094
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1419818177110
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1419818177110
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1419818177453
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1419818177515
started,bundle,org.eclipse.graphiti,0.8.0.v20110601-0826,"org.eclipse.graphiti",1419818177531
started,bundle,org.eclipse.graphiti.ui,0.8.0.v20110606-1453,"org.eclipse.graphiti.ui",1419818177531
started,bundle,org.activiti.designer.eclipse,5.8.0,"org.activiti.designer.eclipse",1419818177531
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1419818177578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818195580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818270679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1419818270694
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1419818281989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818288556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818293065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1419818293080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818298213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818412746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1419818412762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1419818418206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818418596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818418705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818423651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818506456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1419818506502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818506861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818513480
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1419818523293
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1419818523293
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1419818523371
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1419818523371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818523917
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1419818527973
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1419818527988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818552449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1419818552512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818584944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1419818589250
