what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.I20120114-1841,"org.eclipse.mylyn.commons.ui",1420799396105
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.I20120114-1841,"org.eclipse.mylyn.commons.workbench",1420799396108
started,bundle,org.eclipse.mylyn.context.core,3.7.0.I20120114-1841,"org.eclipse.mylyn.context.core",1420799396111
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.I20120114-1841,"org.eclipse.mylyn.context.tasks.ui",1420799396114
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.I20120114-1841,"org.eclipse.mylyn.monitor.ui",1420799396115
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.I20120114-1841,"org.eclipse.mylyn.tasks.ui",1420799396151
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.I20120114-1841,"org.eclipse.mylyn.team.ui",1420799396154
started,bundle,org.eclipse.mylyn.web.tasks,3.7.0.I20120115-0506,"org.eclipse.mylyn.web.tasks",1420799396155
os,sysinfo,,,"win32",1420799396168
arch,sysinfo,,,"x86",1420799396168
ws,sysinfo,,,"win32",1420799396168
locale,sysinfo,,,"en_US",1420799396168
processors,sysinfo,,,"4",1420799396168
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1420799396168
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1420799396168
java.specification.name,sysinfo,,,"Java Platform API Specification",1420799396168
java.specification.vendor,sysinfo,,,"Oracle Corporation",1420799396168
java.specification.version,sysinfo,,,"1.7",1420799396168
java.vendor,sysinfo,,,"Oracle Corporation",1420799396168
java.version,sysinfo,,,"1.7.0_71",1420799396168
java.vm.info,sysinfo,,,"mixed mode",1420799396168
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1420799396168
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1420799396168
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1420799396168
java.vm.specification.version,sysinfo,,,"1.7",1420799396168
java.vm.vendor,sysinfo,,,"Oracle Corporation",1420799396168
java.vm.version,sysinfo,,,"24.71-b01",1420799396168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420799397412
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1420799397506
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1420799397607
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1420799397854
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1420799400328
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1420799400466
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1420799400738
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1420799400740
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1420799400869
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1420799401148
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1420799401321
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1420799401857
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1420799402177
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1420799402257
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1420799402356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420799643738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420799644677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420805919770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420805919910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420805921550
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1420805922580
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1420805924155
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1420805924285
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1420805924330
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1420805924360
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1420805924400
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1420805924490
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1420805924540
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1420805924585
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1420805924645
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1420805924715
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1420805924765
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1420805924815
